Date,Time,Lat,Long,Speed,Angle,Altitude,Sat#,RH,T,CC,C_Ht,C_HtIn,GC,G_Ht,G_HtIn,Flags
7/20/22,0:00:00,4157.6533N,9336.6689W,2,88.2,296,11,46,31,0,2879,113.3,97,2900,114.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.2,147.6,308,5,65.2,24.3,0,1659,65.3,97,1707,67.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.2,24.3,0,1638,64.5,97,1709,67.3,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.2,24.3,0,1578,62.1,96,1606,63.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.2,24.3,17,1561,61.5,97,1696,66.8,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.1,24.4,28,1539,60.6,95,1696,66.8,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.2,24.3,19,1492,58.7,96,1631,64.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.1,24.4,20,1434,56.5,96,1575,62,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.1,24.4,0,1478,58.2,97,1531,60.3,0
7/20/22,23:15:31,4157.6509N,9336.6602W,0.1,178.4,308,5,65.1,24.4,4,1488,58.6,85,1598,62.9,0
7/20/22,23:15:33,4157.6514N,9336.6602W,0.1,178.4,306,5,65,24.4,61,1492,58.7,96,1715,67.5,0
7/20/22,23:15:33,4157.6514N,9336.6602W,0.1,41.3,306,5,65,24.4,19,1569,61.8,96,1709,67.3,0
7/20/22,23:15:33,4157.6514N,9336.6602W,0.1,41.3,306,5,65,24.4,0,1626,64,61,1697,66.8,0
7/20/22,23:15:33,4157.6514N,9336.6602W,0.1,41.3,306,5,65,24.4,0,1597,62.9,61,1697,66.8,0
7/20/22,23:15:33,4157.6514N,9336.6602W,0.1,41.3,306,5,64.9,24.4,0,1601,63,61,1697,66.8,0
7/20/22,23:15:34,4157.6499N,9336.6592W,0.1,41.3,310,5,64.9,24.4,79,1524,60,96,1783,70.2,0
7/20/22,23:15:34,4157.6499N,9336.6592W,1.1,194.9,310,5,64.9,24.4,0,1530,60.2,97,1542,60.7,0
7/20/22,23:15:34,4157.6499N,9336.6592W,1.1,194.9,310,5,64.8,24.4,0,1472,58,97,1488,58.6,0
7/20/22,23:15:34,4157.6499N,9336.6592W,1.1,194.9,310,5,64.8,24.4,0,1382,54.4,97,1402,55.2,0
7/20/22,23:15:34,4157.6499N,9336.6592W,1.1,194.9,310,5,64.8,24.5,79,1077,42.4,97,1335,52.6,0
7/20/22,23:15:35,4157.6504N,9336.6592W,1.1,194.9,308,5,64.8,24.5,3,1088,42.8,78,1196,47.1,0
7/20/22,23:15:35,4157.6504N,9336.6592W,0.8,158.1,308,5,64.8,24.5,21,1017,40,78,1165,45.9,0
7/20/22,23:15:35,4157.6504N,9336.6592W,0.8,158.1,308,5,64.8,24.5,4,1096,43.1,82,1204,47.4,0
7/20/22,23:15:35,4157.6504N,9336.6592W,0.8,158.1,308,5,64.8,24.5,0,1173,46.2,97,1217,47.9,0
7/20/22,23:15:35,4157.6504N,9336.6592W,0.8,158.1,308,5,64.8,24.5,0,1145,45.1,61,1150,45.3,0
7/20/22,23:15:36,4157.6504N,9336.6592W,0.8,158.1,308,5,64.7,24.5,100,1128,44.4,1,2552,100.5,0
7/20/22,23:15:36,4157.6504N,9336.6592W,0.2,158.8,308,5,64.7,24.5,90,1687,66.4,79,4928,194,0
7/20/22,23:15:36,4157.6504N,9336.6592W,0.2,158.8,308,5,64.7,24.5,88,3710,146.1,84,4774,188,0
7/20/22,23:15:36,4157.6504N,9336.6592W,0.2,158.8,308,5,64.7,24.6,84,1245,49,51,4581,180.4,0
7/20/22,23:15:36,4157.6504N,9336.6592W,0.2,158.8,308,5,64.6,24.5,100,1187,46.7,60,4544,178.9,0
7/20/22,23:15:37,4157.6509N,9336.6602W,0.2,158.8,307,5,64.6,24.6,100,1201,47.3,58,4563,179.6,0
7/20/22,23:15:37,4157.6509N,9336.6602W,0.1,179.8,307,5,64.6,24.6,100,1222,48.1,61,4563,179.6,0
7/20/22,23:15:37,4157.6509N,9336.6602W,0.1,179.8,307,5,64.6,24.6,100,1229,48.4,1,4005,157.7,0
7/20/22,23:15:37,4157.6509N,9336.6602W,0.1,179.8,307,5,64.6,24.6,100,1202,47.3,1,4005,157.7,0
7/20/22,23:15:37,4157.6509N,9336.6602W,0.1,179.8,307,5,64.5,24.6,100,1121,44.1,1,2545,100.2,0
7/20/22,23:15:38,4157.6514N,9336.6602W,0.1,179.8,307,5,64.4,24.6,84,1027,40.4,67,1301,51.2,0
7/20/22,23:15:38,4157.6514N,9336.6602W,0.1,234.4,307,5,64.4,24.6,0,929,36.6,97,1007,39.6,0
7/20/22,23:15:38,4157.6514N,9336.6602W,0.1,234.4,307,5,64.4,24.6,0,905,35.6,84,992,39.1,0
7/20/22,23:15:38,4157.6514N,9336.6602W,0.1,234.4,307,5,64.3,24.6,0,880,34.6,97,880,34.6,0
7/20/22,23:15:38,4157.6514N,9336.6602W,0.1,234.4,307,5,64.3,24.7,0,695,27.4,94,789,31.1,0
7/20/22,23:15:39,4157.6514N,9336.6602W,0.1,234.4,306,5,64.2,24.7,57,719,28.3,95,933,36.7,0
7/20/22,23:15:39,4157.6514N,9336.6602W,0.2,305.7,306,5,64.1,24.7,0,810,31.9,97,878,34.6,0
7/20/22,23:15:39,4157.6514N,9336.6602W,0.2,305.7,306,5,64.2,24.7,0,788,31,98,828,32.6,0
7/20/22,23:15:39,4157.6514N,9336.6602W,0.2,305.7,306,5,64.1,24.7,0,784,30.9,88,805,31.7,0
7/20/22,23:15:39,4157.6514N,9336.6602W,0.2,305.7,306,5,64.1,24.7,0,819,32.2,95,905,35.6,0
7/20/22,23:15:40,4157.6514N,9336.6602W,0.2,305.7,306,5,64,24.7,0,884,34.8,98,930,36.6,0
7/20/22,23:15:40,4157.6514N,9336.6602W,0.2,331.8,306,5,63.9,24.7,14,981,38.6,94,1110,43.7,0
7/20/22,23:15:40,4157.6514N,9336.6602W,0.2,331.8,306,5,63.9,24.7,42,1027,40.4,89,1211,47.7,0
7/20/22,23:15:40,4157.6514N,9336.6602W,0.2,331.8,306,5,63.8,24.7,65,1172,46.1,61,1413,55.6,0
7/20/22,23:15:40,4157.6514N,9336.6602W,0.2,331.8,306,5,63.8,24.7,23,1301,51.2,61,1448,57,0
7/20/22,23:15:41,4157.6514N,9336.6602W,0.2,331.8,306,5,63.8,24.8,0,1480,58.3,94,1551,61.1,0
7/20/22,23:15:41,4157.6514N,9336.6602W,0.4,140.6,306,5,63.7,24.7,0,1548,60.9,61,1551,61.1,0
7/20/22,23:15:41,4157.6514N,9336.6602W,0.4,140.6,306,5,63.7,24.8,0,1550,61,61,1551,61.1,0
7/20/22,23:15:41,4157.6514N,9336.6602W,0.4,140.6,306,5,63.7,24.8,0,1550,61,61,1551,61.1,0
7/20/22,23:15:41,4157.6514N,9336.6602W,0.4,140.6,306,5,63.6,24.8,0,1550,61,61,1551,61.1,0
