Date,Time,Lat,Long,Speed,Angle,Altitude,Sat#,RH,T,CC,C_Ht,C_HtIn,GC,G_Ht,G_HtIn,Flags
7/20/22,0:00:00,4157.6533N,9336.6689W,5,88.2,10,11,46,31,0,2879,113.3,97,2900,114.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,4,147.6,20,5,65.2,24.3,0,1659,65.3,97,1707,67.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,2,178.4,20,5,65.2,24.3,0,1638,64.5,97,1709,67.3,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.2,24.3,0,1578,62.1,96,1606,63.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.2,24.3,17,1561,61.5,97,1696,66.8,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.1,24.4,28,1539,60.6,95,1696,66.8,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.2,24.3,19,1492,58.7,96,1631,64.2,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.1,24.4,20,1434,56.5,96,1575,62,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.1,24.4,0,1478,58.2,97,1531,60.3,0
7/20/22,23:15:31,4157.6509N,9336.6602W,1,178.4,20,5,65.1,24.4,4,1488,58.6,85,1598,62.9,0
